,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
30,2023-10-09 14:45:00,zn2401C21800,zn2401C21800,545.0,0.0,0.0,0.0,545.0,545.0,545.0,545.0,541.0,482.0,548.0,548.0,545.0,4.0,10915.0,5
31,2023-10-09 15:00:00,zn2401C21800,zn2401C21800,545.0,1.0,2895.0,-1.0,545.0,545.0,545.0,545.0,541.0,482.0,548.0,548.0,545.0,4.0,10915.0,5
32,2023-10-09 21:30:00,zn2401C21800,zn2401C21800,545.0,0.0,0.0,0.0,545.0,545.0,545.0,545.0,579.0,545.0,545.0,545.0,545.0,0.0,0.0,4
33,2023-10-09 22:00:00,zn2401C21800,zn2401C21800,545.0,0.0,0.0,0.0,545.0,545.0,545.0,545.0,579.0,545.0,545.0,545.0,545.0,0.0,0.0,4
34,2023-10-09 22:30:00,zn2401C21800,zn2401C21800,545.0,0.0,0.0,0.0,545.0,545.0,545.0,545.0,579.0,545.0,545.0,545.0,545.0,0.0,0.0,4
35,2023-10-09 23:00:00,zn2401C21800,zn2401C21800,390.0,1.0,1950.0,1.0,390.0,390.0,390.0,545.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
36,2023-10-09 23:30:00,zn2401C21800,zn2401C21800,390.0,0.0,0.0,0.0,390.0,390.0,390.0,390.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
37,2023-10-10,zn2401C21800,zn2401C21800,390.0,0.0,0.0,0.0,390.0,390.0,390.0,390.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
38,2023-10-10 00:30:00,zn2401C21800,zn2401C21800,390.0,0.0,0.0,0.0,390.0,390.0,390.0,390.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
39,2023-10-10 01:00:00,zn2401C21800,zn2401C21800,390.0,0.0,0.0,0.0,390.0,390.0,390.0,390.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
40,2023-10-10 09:30:00,zn2401C21800,zn2401C21800,390.0,0.0,0.0,0.0,390.0,390.0,390.0,390.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
41,2023-10-10 10:00:00,zn2401C21800,zn2401C21800,390.0,0.0,0.0,0.0,390.0,390.0,390.0,390.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
42,2023-10-10 10:45:00,zn2401C21800,zn2401C21800,390.0,0.0,0.0,0.0,390.0,390.0,390.0,390.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
43,2023-10-10 11:15:00,zn2401C21800,zn2401C21800,390.0,0.0,0.0,0.0,390.0,390.0,390.0,390.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
44,2023-10-10 13:45:00,zn2401C21800,zn2401C21800,390.0,0.0,0.0,0.0,390.0,390.0,390.0,390.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
45,2023-10-10 14:15:00,zn2401C21800,zn2401C21800,390.0,0.0,0.0,0.0,390.0,390.0,390.0,390.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
46,2023-10-10 14:45:00,zn2401C21800,zn2401C21800,390.0,0.0,0.0,0.0,390.0,390.0,390.0,390.0,579.0,545.0,390.0,390.0,390.0,1.0,1950.0,5
47,2023-10-10 15:00:00,zn2401C21800,zn2401C21800,289.0,1.0,1445.0,0.0,390.0,390.0,289.0,390.0,579.0,545.0,390.0,390.0,289.0,2.0,3395.0,5
48,2023-10-10 21:30:00,zn2401C21800,zn2401C21800,289.0,0.0,0.0,0.0,289.0,289.0,289.0,289.0,399.0,289.0,289.0,289.0,289.0,0.0,0.0,5
49,2023-10-10 22:00:00,zn2401C21800,zn2401C21800,289.0,0.0,0.0,0.0,289.0,289.0,289.0,289.0,399.0,289.0,289.0,289.0,289.0,0.0,0.0,5
50,2023-10-10 22:30:00,zn2401C21800,zn2401C21800,289.0,0.0,0.0,0.0,289.0,289.0,289.0,289.0,399.0,289.0,289.0,289.0,289.0,0.0,0.0,5
51,2023-10-10 23:00:00,zn2401C21800,zn2401C21800,289.0,0.0,0.0,0.0,289.0,289.0,289.0,289.0,399.0,289.0,289.0,289.0,289.0,0.0,0.0,5
52,2023-10-10 23:30:00,zn2401C21800,zn2401C21800,289.0,0.0,0.0,0.0,289.0,289.0,289.0,289.0,399.0,289.0,289.0,289.0,289.0,0.0,0.0,5
53,2023-10-11,zn2401C21800,zn2401C21800,289.0,0.0,0.0,0.0,289.0,289.0,289.0,289.0,399.0,289.0,289.0,289.0,289.0,0.0,0.0,5
54,2023-10-11 00:30:00,zn2401C21800,zn2401C21800,309.0,1.0,1545.0,0.0,309.0,309.0,289.0,289.0,399.0,289.0,309.0,309.0,309.0,1.0,1545.0,5
55,2023-10-11 01:00:00,zn2401C21800,zn2401C21800,309.0,0.0,0.0,0.0,309.0,309.0,309.0,309.0,399.0,289.0,309.0,309.0,309.0,1.0,1545.0,5
56,2023-10-11 09:30:00,zn2401C21800,zn2401C21800,309.0,0.0,0.0,0.0,309.0,309.0,309.0,309.0,399.0,289.0,309.0,309.0,309.0,1.0,1545.0,5
57,2023-10-11 10:00:00,zn2401C21800,zn2401C21800,309.0,0.0,0.0,0.0,309.0,309.0,309.0,309.0,399.0,289.0,309.0,309.0,309.0,1.0,1545.0,5
58,2023-10-11 10:45:00,zn2401C21800,zn2401C21800,309.0,0.0,0.0,0.0,309.0,309.0,309.0,309.0,399.0,289.0,309.0,309.0,309.0,1.0,1545.0,5
59,2023-10-11 11:15:00,zn2401C21800,zn2401C21800,309.0,0.0,0.0,0.0,309.0,309.0,309.0,309.0,399.0,289.0,309.0,309.0,309.0,1.0,1545.0,5
60,2023-10-11 13:45:00,zn2401C21800,zn2401C21800,309.0,0.0,0.0,0.0,309.0,309.0,309.0,309.0,399.0,289.0,309.0,309.0,309.0,1.0,1545.0,5
