,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,prev_close,open,high,low,volume,amount,open_interest
19628,2023-09-14 14:03:27,IF2309,IF2309,3720.2,5.0,5580540.0,-4.0,3,3720.0,3720.2,1,3739.6,3740.0,3750.0,3717.4,48466.0,54308176140.0,53849
19629,2023-09-14 14:03:27,IF2309,IF2309,3720.2,1.0,1116060.0,0.0,1,3720.4,3721.0,5,3739.6,3740.0,3750.0,3717.4,48467.0,54309292200.0,53849
19630,2023-09-14 14:03:28,IF2309,IF2309,3720.2,0.0,0.0,0.0,1,3720.8,3721.0,5,3739.6,3740.0,3750.0,3717.4,48467.0,54309292200.0,53849
19631,2023-09-14 14:03:28,IF2309,IF2309,3720.2,3.0,3348420.0,0.0,2,3720.2,3720.4,1,3739.6,3740.0,3750.0,3717.4,48470.0,54312640620.0,53849
19632,2023-09-14 14:03:29,IF2309,IF2309,3720.4,3.0,3348480.0,0.0,1,3720.8,3721.0,5,3739.6,3740.0,3750.0,3717.4,48473.0,54315989100.0,53849
19633,2023-09-14 14:03:29,IF2309,IF2309,3720.4,2.0,2232360.0,-1.0,2,3720.2,3720.4,1,3739.6,3740.0,3750.0,3717.4,48475.0,54318221460.0,53848
19634,2023-09-14 14:03:30,IF2309,IF2309,3720.4,1.0,1116120.0,0.0,2,3720.2,3721.0,6,3739.6,3740.0,3750.0,3717.4,48476.0,54319337580.0,53848
19635,2023-09-14 14:03:30,IF2309,IF2309,3720.4,0.0,0.0,0.0,1,3720.4,3721.0,6,3739.6,3740.0,3750.0,3717.4,48476.0,54319337580.0,53848
19636,2023-09-14 14:03:31,IF2309,IF2309,3720.2,2.0,2232180.0,0.0,3,3720.0,3720.2,1,3739.6,3740.0,3750.0,3717.4,48478.0,54321569760.0,53848
19637,2023-09-14 14:03:31,IF2309,IF2309,3720.2,2.0,2232120.0,0.0,2,3720.4,3721.0,6,3739.6,3740.0,3750.0,3717.4,48480.0,54323801880.0,53848
19638,2023-09-14 14:03:32,IF2309,IF2309,3720.2,0.0,0.0,0.0,10,3720.6,3721.0,6,3739.6,3740.0,3750.0,3717.4,48480.0,54323801880.0,53848
19639,2023-09-14 14:03:32,IF2309,IF2309,3720.2,0.0,0.0,0.0,10,3720.6,3721.0,8,3739.6,3740.0,3750.0,3717.4,48480.0,54323801880.0,53848
19640,2023-09-14 14:03:33,IF2309,IF2309,3721.0,1.0,1116300.0,-1.0,10,3720.6,3721.0,7,3739.6,3740.0,3750.0,3717.4,48481.0,54324918180.0,53847
19641,2023-09-14 14:03:34,IF2309,IF2309,3720.6,4.0,4464720.0,-4.0,6,3720.6,3721.0,7,3739.6,3740.0,3750.0,3717.4,48485.0,54329382900.0,53843
19642,2023-09-14 14:03:36,IF2309,IF2309,3721.0,2.0,2232600.0,0.0,6,3720.6,3721.0,6,3739.6,3740.0,3750.0,3717.4,48487.0,54331615500.0,53843
19643,2023-09-14 14:03:36,IF2309,IF2309,3721.0,1.0,1116300.0,0.0,6,3720.6,3721.0,5,3739.6,3740.0,3750.0,3717.4,48488.0,54332731800.0,53843
19644,2023-09-14 14:03:37,IF2309,IF2309,3721.0,2.0,2232480.0,0.0,5,3720.6,3720.8,1,3739.6,3740.0,3750.0,3717.4,48490.0,54334964280.0,53843
19645,2023-09-14 14:03:37,IF2309,IF2309,3720.6,2.0,2232420.0,-1.0,4,3720.6,3721.0,4,3739.6,3740.0,3750.0,3717.4,48492.0,54337196700.0,53842
