,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,prev_close,open,high,low,volume,amount,open_interest
41,9/14/2023 9:50,au2309,au2309,470.04,0,0,0,6,469,485,15,470.04,0,0,0,0,0,69
42,9/14/2023 9:50,au2309,au2309,470.04,0,0,0,6,469,485,15,470.04,0,0,0,0,0,69
43,9/14/2023 9:50,au2309,au2309,470.04,0,0,0,6,469,484.98,3,470.04,0,0,0,0,0,69
44,9/14/2023 9:51,au2309,au2309,470.04,0,0,0,6,469,484,15,470.04,0,0,0,0,0,69
45,9/14/2023 9:51,au2309,au2309,470.04,0,0,0,6,469,483.98,3,470.04,0,0,0,0,0,69
46,9/14/2023 9:53,au2309,au2309,470.04,0,0,0,6,469,483.98,3,470.04,0,0,0,0,0,69
47,9/14/2023 9:53,au2309,au2309,470.04,0,0,0,6,469,483,15,470.04,0,0,0,0,0,69
48,9/14/2023 9:54,au2309,au2309,470.04,0,0,0,6,469,482.98,3,470.04,0,0,0,0,0,69
49,9/14/2023 10:08,au2309,au2309,470.04,0,0,0,6,469,482.98,3,470.04,0,0,0,0,0,69
50,9/14/2023 10:14,au2309,au2309,470.04,0,0,0,3,469.02,482.98,3,470.04,0,0,0,0,0,69
51,9/14/2023 10:30,au2309,au2309,470.04,0,0,0,6,469,482.98,3,470.04,0,0,0,0,0,69
52,9/14/2023 10:58,au2309,au2309,470.04,0,0,0,6,469,482.98,3,470.04,0,0,0,0,0,69
53,9/14/2023 10:58,au2309,au2309,470.04,0,0,0,6,469,482.98,3,470.04,0,0,0,0,0,69
54,9/14/2023 10:58,au2309,au2309,470.04,0,0,0,6,469,482.98,3,470.04,0,0,0,0,0,69
55,9/14/2023 11:29,au2309,au2309,470.04,0,0,0,6,469,482.98,3,470.04,0,0,0,0,0,69
56,9/14/2023 11:29,au2309,au2309,470.04,0,0,0,6,469,483,15,470.04,0,0,0,0,0,69
57,9/14/2023 13:30,au2309,au2309,470.04,0,0,0,6,469,482.98,3,470.04,0,0,0,0,0,69
58,9/14/2023 14:59,au2309,au2309,470.04,0,0,0,6,469,483,15,470.04,0,0,0,0,0,69
59,9/14/2023 15:00,au2309,au2309,470.04,0,0,0,6,469,483,15,470.04,0,0,0,0,0,69
